faust_number,isbn,book_title,book_author
48263402,9788743400059,Meter i sekundet,Stine Pilgaard
27404596,,Vitello ønsker sig en hund,
47864356,9788726270617,Grydeklar,
50699854,,Lasse-Leif og den virkelig væmmelige makrelmad,Mette Finderup
53681271,9788711930861,Pagten,Michael Katz Krefeld
48369456,,En uventet forelskelse,Julia Quinn (f. 1970)
47080495,9788711918845,Sallys far gider ikke være voksen,Thomas Brunstrøm
54542992,,Vi kunne alt,Merete Pryds Helle
28533276,,Mimbo Jimbo har det sjovt,Jakob Martin Strid
48769527,,Klinten,Jens Smærup Sørensen
54691718,9788763860253,Godnat og sjov godt,Lars Daneskov
53369685,,En anden gren,Jesper Wung-Sung
